a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
acl 2.3.1-3
acpi 1.7-3
adobe-base-14-fonts 3.01-4
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-card-profiles 1:0.3.80-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20230804.7be2766d-2
android-file-transfer 4.2-3
android-sdk 26.1.1-2
android-sdk-cmdline-tools-latest 11.0-1
android-sdk-platform-tools 34.0.4-1
android-studio 2022.3.1.19-1
android-tools 34.0.4-2
android-udev 20230614-1
ant 1.10.14-1
anydesk-bin 6.3.0-1
aom 3.7.0-1
apache-tools 2.4.57-2
appstream 0.16.3-1
appstream-glib 0.8.2-3
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-gtk-theme 20221218-1
archlinux-keyring 20230918-1
arduino-avr-core 1.8.3-2
argon2 20190702-5
aria2 1.36.0-1
aribb24 1.0.3-3
asciidoc 10.2.0-3
astyle 3.4.5-1
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.110.0-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.2-1
authenticator 4.3.1-1
autoconf 2.71-4
autofs 5.1.8-2
automake 1.16.5-2
autossh 1.4g-2
avahi 1:0.8+r127+g55d783d-1
avr-binutils 2.41-1
avr-gcc 13.2.0-2
avr-libc 2.1.0-3
avrdude 1:7.2-1
ayatana-ido 0.10.1-1
barrier 2.4.0-2
barrier-headless 2.4.0-2
base 3-1
base-devel 1-1
bash 5.1.016-4
bat 0.23.0-3
bc 1.07.1-4
bfg 1.14.0-1
biber 1:2.19-2
bind 9.18.19-1
binutils 2.41-3
bison 3.8.2-6
bitwarden 2023.9.0-1
blas 3.11.0-2
bluez-libs 5.70-1
bmake 20230909-1
boost 1.83.0-2
boost-libs 1.83.0-2
brave-bin 1:1.58.135-1
breeze-icons 5.110.0-1
bridge-utils 1.7.1-1
brltty 6.6-2
brotli 1.1.0-1
btrfs-progs 6.5.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
caps 0.9.26-2
capstone 4.0.2-7
catatonit 0.1.7-2
cblas 3.11.0-2
cdparanoia 10.2-8
celt 0.11.3-6
check 0.15.2-2
chromaprint 1.5.1-7
chrpath 0.16-4
cifs-utils 7.0-3
clang 16.0.6-1
clion 1:2023.2.2-1
cloudflare-warp-bin 2023.7.40-1
cmake 3.27.6-1
cmatrix 2.0-2
coffeescript 2.7.0-1
colord 1.4.6-1
compiler-rt 16.0.6-2
confuse 3.3-3
conmon 1:2.1.8-1
containerd 1.7.6-1
containers-common 1:0.55.4-1
convertlit 1.8-11
coreutils 9.4-1
cowfortune 0.1.2-7
cowsay 3.04-4
cpio 2.14-1
cppdap 1.58.0-1
cracklib 2.9.11-1
criu 3.18-1
crun 1.9.2-1
crypto++ 8.8.0-1
cryptsetup 2.6.1-3
cuda 12.2.0-1
cudnn 8.9.2.26-1
cunit 2.1.3-3
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.3.0-1
cyrus-sasl-gssapi 2.1.28-3
cython 3.0.2-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbeaver 23.2.1-1
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
debuginfod 0.189-3
default-cursors 2-1
dejagnu 1.6.3-7
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
direnv 2.32.3-1
discord 0.0.30-1
discount 3.0.0.a-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:24.0.6-1
docker-compose 2.20.3-1
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
doxygen 1.9.8-1
drawio-desktop-bin 21.7.5-1
dtc 1.7.0-4
duktape 2.7.0-6
dunst 1.9.2-1
dust 0.8.6-1
dvisvgm 3.1.1-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
edk2-aarch64 202308-3
edk2-arm 202308-3
edk2-ovmf 202308-3
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
electron 1:25-1
electron21 21.4.4-1
electron24 24.8.3-1
electron25 25.6.0-1
elementary-icon-theme 7.3.1-1
elfutils 0.189-3
enchant 2.6.0-1
eog 44.3-1
erlang-nox 26.1-1
etcher-bin 1.18.11-1
evhz-git r28.2c94d6f-1
evince 44.3-1
exempi 2.6.4-1
exiv2 0.28.0-3
expat 2.5.0-1
expect 5.45.4-4
eza 0.13.1-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
faudio 23.09-1
fcgi 2.4.2-2
feh 3.10-1
ffcall 2.4-2
ffmpeg 2:6.0-11
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.45-1
file-roller 43.0-2
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox-developer-edition 118.0b9-1
fish 3.6.1-1
flac 1.4.3-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.3-1
flutter 3.13.0-1
fmt 10.1.0-1
font-manager 0.8.8-1
fontconfig 2:2.14.2-1
fontforge 20230101-3
fortune-mod 3.20.0-1
freeglut 3.4.0-1
freerdp 2:2.11.2-1
freetype2 2.13.2-1
frei0r-plugins 2.3.1-1
fribidi 1.0.13-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gavl 1.4.0-7
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcc12 12.3.0-3
gcc12-libs 12.3.0-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-1
gettext 0.22.2-1
ghostscript 10.02.0-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.42.0-1
